formation_id,text,intitule,labels_18,taxonomy_ids,multi_hot,statut_annotation
4953b88455270a61,Intitulé : Introduire l intelligence artificielle pour optimiser l activité dans le respect des réglementations Public cible : Tout professionnel souhaitant maîtriser l'IA dans son activité Niveau : 0 Modalité : À distance Durée : 25 h Certification : RS 7029 Codes ROME : 0 Organisme : SKEMA BUSINESS SCHOOL,Introduire l intelligence artificielle pour optimiser l activité dans le respect des réglementations,Prompt Engineering | IA générative | Éthique de l’IA,gov.ethics|nlp.generative_ai|nlp.prompt_engineering,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",ia_confirmee
50f1160430d5199e,Intitulé : Programmer et automatiser des tâches avec Python (Tosa) Public cible : Tout professionnel souhaitant maîtriser l'IA dans son activité Niveau : 0 Modalité : Présentiel Durée : 35 h Certification : RS 6962 Codes ROME : 0 Organisme : MYPE,Programmer et automatiser des tâches avec Python (Tosa),Machine Learning | Data Science | Python pour l’IA,ds.intro|ml.intro|prog.python,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",ia_confirmee
501310ebf0a3d272,"Intitulé : MASTER Informatique (fiche nationale) Public cible : Ingénieurs / Bac+5 visant une expertise IA avancée Niveau : BAC+5 : grade master, DEA, DESS, ingénieur... (NIVEAU 7) Modalité : Présentiel Durée : 1479 h Certification : RNCP 39278 Codes ROME : M1801 | M1802 | M1803 | M1805 | M1806 Organisme : UNIVERSITE DE LILLE",MASTER Informatique (fiche nationale),Big Data,ds.big_data,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",ia_confirmee
fc2ef7904481dd8b,"Intitulé : Expert en ingénierie de l intelligence artificielle Public cible : Ingénieurs / Bac+5 visant une expertise IA avancée Niveau : BAC+5 : grade master, DEA, DESS, ingénieur... (NIVEAU 7) Modalité : À distance Durée : 400 h Certification : RNCP 38587 Codes ROME : M1802 | M1803 | M1805 | M1810 Organisme : DATASCIENTEST",Expert en ingénierie de l intelligence artificielle,Machine Learning | Deep Learning | Computer Vision | Data Engineering | Data Science | Python pour l’IA | Éthique de l’IA | Visualisation | Reinforcement Learning | Séries temporelles,cv.intro|de.intro|dl.intro|ds.intro|ds.time_series|ds.visualization|gov.ethics|ml.intro|ml.reinforcement|prog.python,"[1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0]",ia_confirmee
ebe14edb88c5bdaa,Intitulé : Programmer et automatiser des tâches avec Python (Tosa) Public cible : Tout professionnel souhaitant maîtriser l'IA dans son activité Niveau : 0 Modalité : Présentiel Durée : 35 h Certification : RS 6962 Codes ROME : 0 Organisme : MYPE,Programmer et automatiser des tâches avec Python (Tosa),Machine Learning | Data Science | Python pour l’IA | Visualisation | Automatisation,auto.intro|ds.intro|ds.visualization|ml.intro|prog.python,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0]",ia_confirmee
5c01785cb3139fe5,"Intitulé : Concepteur développeur en intelligence artificielle et analyse big data Public cible : Professionnels Bac+3/4 en reconversion ou spécialisation IA Niveau : BAC+3 ou 4 : licence, master 1, maîtrise (NIVEAU 6) Modalité : À distance Durée : 400 h Certification : RNCP 38616 Codes ROME : M1403 | M1805 Organisme : LE WAGON",Concepteur développeur en intelligence artificielle et analyse big data,Machine Learning | Data Science | Python pour l’IA | Visualisation,ds.big_data|ds.intro|ds.visualization|ml.intro|prog.python,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0]",ia_confirmee
86aa9292257d6d53,"Intitulé : Expert en ingénierie de l intelligence artificielle Public cible : Ingénieurs / Bac+5 visant une expertise IA avancée Niveau : BAC+5 : grade master, DEA, DESS, ingénieur... (NIVEAU 7) Modalité : À distance Durée : 2 an Certification : RNCP 38587 Codes ROME : M1802 | M1803 | M1805 | M1810 Organisme : DATASCIENTEST",Expert en ingénierie de l intelligence artificielle,Deep Learning | NLP | Computer Vision | Séries temporelles,cv.intro|dl.intro|ds.time_series|nlp.intro,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",ia_confirmee
6957817a4e9def85,Intitulé : Programmer et automatiser des tâches avec Python (Tosa) Public cible : Managers et professionnels RH souhaitant intégrer l'IA dans leur management Niveau : 0 Modalité : À distance Durée : 35 h Certification : RS 6962 Codes ROME : 0 Organisme : ALIASE,Programmer et automatiser des tâches avec Python (Tosa),Machine Learning | Deep Learning | NLP | Computer Vision | IA générative | Data Science | Python pour l’IA | Visualisation | RAG | Gestion de projet IA | Séries temporelles | Data Engineering,cv.intro|de.intro|dl.intro|ds.intro|ds.time_series|ds.visualization|ml.intro|nlp.generative_ai|nlp.intro|nlp.rag|pm.intro|prog.python,"[1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0]",ia_confirmee
d440597b7eb52f49,"Intitulé : Chef de projet en développement de solutions d intelligence artificielle Public cible : Ingénieurs / Bac+5 visant une expertise IA avancée Niveau : BAC+5 : grade master, DEA, DESS, ingénieur... (NIVEAU 7) Modalité : Présentiel Durée : 1 an Certification : RNCP 38584 Codes ROME : M1805 Organisme : AIVANCITY SCHOOL FOR TECHNOLOGY, BUSINESS & SOCIETY",Chef de projet en développement de solutions d intelligence artificielle,Deep Learning | Computer Vision | Machine Learning | Éthique de l’IA,cv.intro|dl.intro|gov.ethics|ml.intro,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",ia_confirmee
4b2ba42148721d80,Intitulé : Création de contenus rédactionnels et visuels par l'usage responsable de l'intelligence artificielle générative Public cible : Tout professionnel souhaitant maîtriser l'IA dans son activité Niveau : 0 Modalité : À distance Durée : 40 h Certification : RS 6776 Codes ROME : 0 Organisme : LDG SCHOOL,Création de contenus rédactionnels et visuels par l'usage responsable de l'intelligence artificielle générative,IA générative | Éthique de l’IA | Visualisation | No-code / Low-code | Data Engineering,auto.nocode|de.intro|ds.visualization|gov.ethics|nlp.generative_ai,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1]",ia_confirmee
15f8ef207cbeda81,Intitulé : Produire et réviser du contenu professionnel multimédia en utilisant les outils d'Intelligence Artificielle Générative (IAG) de façon responsable Public cible : Tout professionnel souhaitant maîtriser l'IA dans son activité Niveau : 0 Modalité : À distance Durée : 14 h Certification : RS 6891 Codes ROME : 0 Organisme : DEMOS,Produire et réviser du contenu professionnel multimédia en utilisant les outils d'Intelligence Artificielle Générative (IAG) de façon responsable,Machine Learning | Deep Learning | Prompt Engineering | IA générative | Data Science | Éthique de l’IA,dl.intro|ds.intro|gov.ethics|ml.intro|nlp.generative_ai|nlp.prompt_engineering,"[1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",ia_confirmee
ee87b61025ca7208,Intitulé : Produire et réviser du contenu professionnel multimédia en utilisant les outils d'Intelligence Artificielle Générative (IAG) de façon responsable Public cible : Tout professionnel souhaitant maîtriser l'IA dans son activité Niveau : 0 Modalité : À distance Durée : 14 h Certification : RS 6891 Codes ROME : 0 Organisme : DEMOS,Produire et réviser du contenu professionnel multimédia en utilisant les outils d'Intelligence Artificielle Générative (IAG) de façon responsable,IA générative | Éthique de l’IA,gov.ethics|nlp.generative_ai,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",ia_confirmee
c292090ba12fc739,"Intitulé : Architecte en intelligence artificielle Public cible : Ingénieurs / Bac+5 visant une expertise IA avancée Niveau : BAC+5 : grade master, DEA, DESS, ingénieur... (NIVEAU 7) Modalité : À distance Durée : 800 h Certification : RNCP 41993 Codes ROME : M1402 | M1403 | M1802 | M1805 Organisme : DSTI",Architecte en intelligence artificielle,Éthique de l’IA | Visualisation | Séries temporelles | Data Engineering,de.intro|ds.time_series|ds.visualization|gov.ethics,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0]",ia_confirmee
01162b783c4f48bf,"Intitulé : Architecte en intelligence artificielle Public cible : Ingénieurs / Bac+5 visant une expertise IA avancée Niveau : BAC+5 : grade master, DEA, DESS, ingénieur... (NIVEAU 7) Modalité : À distance Durée : 1724 h Certification : RNCP 41993 Codes ROME : M1402 | M1403 | M1802 | M1805 Organisme : DSTI",Architecte en intelligence artificielle,Machine Learning | Deep Learning | NLP | Éthique de l’IA | Visualisation | Séries temporelles | Data Engineering,de.intro|dl.intro|ds.time_series|ds.visualization|gov.ethics|ml.intro|nlp.intro,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0]",ia_confirmee
c203067abd016d26,"Intitulé : MASTER Informatique (fiche nationale) Public cible : Ingénieurs / Bac+5 visant une expertise IA avancée Niveau : BAC+5 : grade master, DEA, DESS, ingénieur... (NIVEAU 7) Modalité : Présentiel Durée : 835 h Certification : RNCP 39278 Codes ROME : M1801 | M1802 | M1803 | M1805 | M1806 Organisme : UNIVERSITE LYON 2 A ET L LUMIERE",MASTER Informatique (fiche nationale),Machine Learning | Deep Learning | NLP | Big Data | RAG,dl.intro|ds.big_data|ml.intro|nlp.intro|nlp.rag,"[1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",ia_confirmee
e43140cfc96b831c,"Intitulé : Concepteur développeur en intelligence artificielle et analyse big data Public cible : Professionnels Bac+3/4 en reconversion ou spécialisation IA Niveau : BAC+3 ou 4 : licence, master 1, maîtrise (NIVEAU 6) Modalité : À distance Durée : 320 h Certification : RNCP 38616 Codes ROME : M1403 | M1805 Organisme : LE WAGON",Concepteur développeur en intelligence artificielle et analyse big data,Machine Learning | Deep Learning | NLP | IA générative | Data Science | Python pour l’IA | Éthique de l’IA | Big Data | Visualisation | RAG | Automatisation | Reinforcement Learning | Séries temporelles | Data Engineering,auto.intro|de.intro|dl.intro|ds.big_data|ds.intro|ds.time_series|ds.visualization|gov.ethics|ml.intro|ml.reinforcement|nlp.generative_ai|nlp.intro|nlp.rag|prog.python,"[1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0]",ia_confirmee
3c2f08a1c0ba3f1f,"Intitulé : Concepteur développeur en intelligence artificielle et analyse big data Public cible : Professionnels Bac+3/4 en reconversion ou spécialisation IA Niveau : BAC+3 ou 4 : licence, master 1, maîtrise (NIVEAU 6) Modalité : Présentiel Durée : 320 h Certification : RNCP 38616 Codes ROME : M1403 | M1805 Organisme : LE WAGON Nantes",Concepteur développeur en intelligence artificielle et analyse big data,Machine Learning | Deep Learning | NLP | IA générative | Python pour l’IA | Éthique de l’IA | Visualisation | RAG | Automatisation | Séries temporelles | Data Engineering,auto.intro|de.intro|dl.intro|ds.big_data|ds.time_series|ds.visualization|gov.ethics|ml.intro|nlp.generative_ai|nlp.intro|nlp.rag|prog.python,"[1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",ia_confirmee
0c8940706f7f6c7b,Intitulé : Produire et réviser du contenu professionnel multimédia en utilisant les outils d'Intelligence Artificielle Générative (IAG) de façon responsable Public cible : Tout professionnel souhaitant maîtriser l'IA dans son activité Niveau : 0 Modalité : Présentiel Durée : 35 h Certification : RS 6891 Codes ROME : 0 Organisme : VIDEO DESIGN FORMATION,Produire et réviser du contenu professionnel multimédia en utilisant les outils d'Intelligence Artificielle Générative (IAG) de façon responsable,Prompt Engineering | IA générative | Éthique de l’IA,gov.ethics|nlp.generative_ai|nlp.prompt_engineering,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",ia_confirmee
efe04ce598cabf0f,"Intitulé : Directeur artistique en stratégie et design de marque Public cible : Ingénieurs / Bac+5 visant une expertise IA avancée Niveau : BAC+5 : grade master, DEA, DESS, ingénieur... (NIVEAU 7) Modalité : Présentiel Durée : 70 h Certification : RNCP 40164 Codes ROME : E1103 | E1104 | E1205 | M1805 Organisme : FORMATION INTUIT LAB PRO",Directeur artistique en stratégie et design de marque,IA générative,nlp.generative_ai,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",ia_confirmee
89c280820f33b63b,"Intitulé : TP Graphiste Public cible : Apprenants Bac+2 intégrant l'IA dans un cursus BTS/DUT Niveau : BAC+2 : DEUG, BT, DUT... (NIVEAU 5) Modalité : Présentiel Durée : 60 h Certification : RNCP 39532 Codes ROME : E1103 | E1104 Organisme : INSTITUT DE FORMATION ET DE DEVELOPPEMENT DES ENTREPRISES",TP Graphiste,Prompt Engineering | IA générative | Éthique de l’IA | Automatisation,auto.intro|gov.ethics|nlp.generative_ai|nlp.prompt_engineering,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",ia_confirmee
80d54196d80a3607,"Intitulé : Ingénieur en intelligence artificielle (MS) Public cible : Ingénieurs / Bac+5 visant une expertise IA avancée Niveau : BAC+5 : grade master, DEA, DESS, ingénieur... (NIVEAU 7) Modalité : Présentiel Durée : 182 h Certification : RNCP 40235 Codes ROME : M1805 Organisme : INSTITUT MINES TELECOM",Ingénieur en intelligence artificielle (MS),Machine Learning | NLP | Data Science | Éthique de l’IA | Automatisation,auto.intro|ds.intro|gov.ethics|ml.intro|nlp.intro,"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0]",ia_confirmee
312595d0ec798a2c,"Intitulé : Expert en ingénierie de l'intelligence artificielle Public cible : Ingénieurs / Bac+5 visant une expertise IA avancée Niveau : BAC+5 : grade master, DEA, DESS, ingénieur... (NIVEAU 7) Modalité : À distance Durée : 2 an Certification : RNCP 38587 Codes ROME : M1802 | M1803 | M1805 | M1810 Organisme : DATASCIENTEST",Expert en ingénierie de l'intelligence artificielle,Machine Learning | Automatisation | Data Engineering,auto.intro|de.intro|ml.intro,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",ia_confirmee
58826d338ce2ed74,"Intitulé : Expert en informatique et systèmes d'information Public cible : Ingénieurs / Bac+5 visant une expertise IA avancée Niveau : BAC+5 : grade master, DEA, DESS, ingénieur... (NIVEAU 7) Modalité : À distance Durée : 2 an Certification : RNCP 40573 Codes ROME : M1802 | M1805 | M1806 Organisme : DATASCIENTEST",Expert en informatique et systèmes d'information,Machine Learning | Data Engineering | Python pour l’IA | Éthique de l’IA | Big Data | Visualisation,de.intro|ds.big_data|ds.visualization|gov.ethics|ml.intro|prog.python,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0]",ia_confirmee
8bc6edba8c0dfe88,"Intitulé : Architecte des systèmes d'information dans les processus industriels Public cible : Ingénieurs / Bac+5 visant une expertise IA avancée Niveau : BAC+5 : grade master, DEA, DESS, ingénieur... (NIVEAU 7) Modalité : Présentiel Durée : 220 h Certification : RNCP 39978 Codes ROME : M1801 | M1802 | M1803 | M1805 | M1806 Organisme : AI2 - APPLIED INSTITUTE OF ARTIFICIAL INTELLIGENCE",Architecte des systèmes d'information dans les processus industriels,Machine Learning | IA générative | Data Science | Python pour l’IA | Éthique de l’IA | Visualisation | Data Engineering,de.intro|ds.intro|ds.visualization|gov.ethics|ml.intro|nlp.generative_ai|prog.python,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0]",ia_confirmee
0264f78ecb607c30,"Intitulé : Expert big data engineer (MS) Public cible : Ingénieurs / Bac+5 visant une expertise IA avancée Niveau : BAC+5 : grade master, DEA, DESS, ingénieur... (NIVEAU 7) Modalité : Présentiel Durée : 1062 h Certification : RNCP 40234 Codes ROME : M1801 | M1802 | M1803 | M1805 | M1806 Organisme : UNIVERSITE DE TECHNOLOGIE DE TROYES",Expert big data engineer (MS),Data Engineering | Data Science | Big Data | Visualisation | RAG,de.intro|ds.big_data|ds.intro|ds.visualization|nlp.rag,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0]",ia_confirmee
0a50914818b200ce,"Intitulé : Développeur en intelligence artificielle Public cible : Professionnels Bac+3/4 en reconversion ou spécialisation IA Niveau : BAC+3 ou 4 : licence, master 1, maîtrise (NIVEAU 6) Modalité : Présentiel Durée : 400 h Certification : RNCP 37827 Codes ROME : M1805 Organisme : IQ FACTORY / Artefact School of Data",Développeur en intelligence artificielle,Machine Learning | Data Engineering | Python pour l’IA | Big Data,de.intro|ds.big_data|ml.intro|prog.python,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0]",ia_confirmee
754b0325568d4eb3,Intitulé : Produire et réviser du contenu professionnel multimédia en utilisant les outils d'Intelligence Artificielle Générative (IAG) de façon responsable Public cible : Tout professionnel souhaitant maîtriser l'IA dans son activité Niveau : 0 Modalité : À distance Durée : 28 h Certification : RS 6891 Codes ROME : 0 Organisme : G404,Produire et réviser du contenu professionnel multimédia en utilisant les outils d'Intelligence Artificielle Générative (IAG) de façon responsable,Prompt Engineering | IA générative | Éthique de l’IA | No-code / Low-code | Automatisation,auto.intro|auto.nocode|gov.ethics|nlp.generative_ai|nlp.prompt_engineering,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]",ia_confirmee
afbb89cd8dae560d,Intitulé : Produire et réviser du contenu professionnel multimédia en utilisant les outils d'Intelligence Artificielle Générative (IAG) de façon responsable Public cible : Tout professionnel souhaitant maîtriser l'IA dans son activité Niveau : 0 Modalité : Présentiel Durée : 70 h Certification : RS 6891 Codes ROME : 0 Organisme : VIDEO DESIGN FORMATION,Produire et réviser du contenu professionnel multimédia en utilisant les outils d'Intelligence Artificielle Générative (IAG) de façon responsable,Prompt Engineering | IA générative | Éthique de l’IA,gov.ethics|nlp.generative_ai|nlp.prompt_engineering,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",ia_confirmee
ea001b1acb50019e,Intitulé : Produire et réviser du contenu professionnel multimédia en utilisant les outils d'Intelligence Artificielle Générative (IAG) de façon responsable Public cible : Tout professionnel souhaitant maîtriser l'IA dans son activité Niveau : 0 Modalité : Présentiel Durée : 21 h Certification : RS 6891 Codes ROME : 0 Organisme : SYDO,Produire et réviser du contenu professionnel multimédia en utilisant les outils d'Intelligence Artificielle Générative (IAG) de façon responsable,Prompt Engineering | IA générative | Éthique de l’IA | Automatisation,auto.intro|gov.ethics|nlp.generative_ai|nlp.prompt_engineering,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",ia_confirmee
1770810ef76c40cb,Intitulé : Produire et réviser du contenu professionnel multimédia en utilisant les outils d'Intelligence Artificielle Générative (IAG) de façon responsable Public cible : Tout professionnel souhaitant maîtriser l'IA dans son activité Niveau : 0 Modalité : Présentiel Durée : 28 h Certification : RS 6891 Codes ROME : 0 Organisme : G404,Produire et réviser du contenu professionnel multimédia en utilisant les outils d'Intelligence Artificielle Générative (IAG) de façon responsable,IA générative | Éthique de l’IA,gov.ethics|nlp.generative_ai,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",ia_confirmee
f0c521179a7ea2fb,"Intitulé : Product builder no code Public cible : Professionnels Bac+3/4 en reconversion ou spécialisation IA Niveau : BAC+3 ou 4 : licence, master 1, maîtrise (NIVEAU 6) Modalité : À distance Durée : 7 mois Certification : RNCP 40593 Codes ROME : M1805 | M1806 Organisme : DATASCIENTEST",Product builder no code,Prompt Engineering | IA générative | Éthique de l’IA | Visualisation | No-code / Low-code | Automatisation,auto.intro|auto.nocode|ds.visualization|gov.ethics|nlp.generative_ai|nlp.prompt_engineering,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1]",ia_confirmee
031b02f2530b76d6,Intitulé : Produire et réviser du contenu professionnel multimédia en utilisant les outils d'Intelligence Artificielle Générative (IAG) de façon responsable Public cible : Tout professionnel souhaitant maîtriser l'IA dans son activité Niveau : 0 Modalité : À distance Durée : 21 h Certification : RS 6891 Codes ROME : 0 Organisme : SKILLS4ALL,Produire et réviser du contenu professionnel multimédia en utilisant les outils d'Intelligence Artificielle Générative (IAG) de façon responsable,NLP | Prompt Engineering | IA générative | Éthique de l’IA | No-code / Low-code | Automatisation,auto.intro|auto.nocode|gov.ethics|nlp.generative_ai|nlp.intro|nlp.prompt_engineering,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]",ia_confirmee
